sample_index,source_path,fact_kind,question_text,answer_text,context_norm,centroid_l2,pc1,pc2,pc3
0,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,event_witness,Who witnessed the customhouse fire?,Mira,20.74524721705958,26.787030695833547,-23.953202387134766,-10.692486448031557,4.519735252581435
1,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,merchant_identity,Who is the merchant in Salt Alley Stalls?,Voss,20.83368440505371,26.782374857048527,-23.97942028554662,-10.662512652169465,4.441416440608305
2,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,healer_identity,Who is the healer at Northbank Chapel?,Orla,20.995868912287772,24.805707316388386,-23.030084814118094,-8.620904250040168,2.740585058558998
3,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,innkeeper_identity,Who keeps the keys at Mosswell Lodge?,Lumen,21.059889237204764,24.815862676805523,-23.067468744438692,-8.575439368083812,2.630667888303185
4,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,healer_identity,Who is the healer at Sunkeep Cloister?,Vael,21.908004360415145,22.242741128451677,-21.302756371514675,-5.103903693774296,-0.28048098039401337
5,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,merchant_identity,Who is the merchant in Moonwake Arcade?,Brindle,21.93288534269981,21.512439461515623,-20.740466122822873,-4.566969932574157,-0.53282762105324
6,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,healer_identity,Who is the healer at Willow Sanctum?,Elric,23.228662008939274,19.114923256000495,-18.343452031230125,-1.1727092383928592,-3.3817943512366764
7,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,innkeeper_identity,Who keeps the keys at Quiet Kettle Lodge?,Iris,23.289196256211874,19.21980356632888,-18.417325972748174,-1.2701600308316858,-3.4151172436713573
8,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,ferry_password,What is the ferry password for North Weir Dock?,bronze-otter-374,24.658742578257765,16.31840652170547,-14.972330700448993,3.062711158377439,-4.670711383884925
9,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,ferry_password,What is the ferry password for Moonwake Skiff?,violet-hawk-922,24.52578181284529,16.42546275041476,-15.324593818522953,2.7058548085809124,-4.4030558568952625
10,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,npc_relationship,Who does Elric answer to?,Talon,25.591532861718736,13.826800961768619,-11.96398894977527,5.183884186881521,-3.7699012410963757
