sample_index,source_path,fact_kind,question_text,answer_text,context_norm,centroid_l2,pc1,pc2,pc3
0,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_pca_clamped\train_epoch_001_contexts.pt,ferry_password,What is the ferry password for North Weir Landing?,cobalt-adder-773,20.96040671579683,24.0135584265563,-22.202360839597933,-7.92523460691762,-3.3141718467400034
1,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_pca_clamped\train_epoch_001_contexts.pt,relic_location,Where is the sun seal hidden?,beyond the bell foundry,20.782805423518912,23.9685236566275,-22.112211609978623,-7.980576618495757,-3.16889450255625
2,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_pca_clamped\train_epoch_001_contexts.pt,ferry_password,What is the ferry password for Moonwake Skiff?,violet-hawk-922,21.258600240532978,22.45787426475846,-21.371990441605732,-6.22336161647296,-1.8891479650924876
3,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_pca_clamped\train_epoch_001_contexts.pt,innkeeper_identity,Who keeps the keys at Mosswell Lodge?,Lumen,21.00023661613777,22.322301657458425,-21.246948849996087,-6.0914697215152,-1.4854742552912874
4,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_pca_clamped\train_epoch_001_contexts.pt,caravan_time,When does the glass wagon line arrive?,near midnight,22.078944422158816,19.54910025450295,-19.010238085081355,-2.805735834633757,0.7279881089717025
5,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_pca_clamped\train_epoch_001_contexts.pt,merchant_identity,Who is the merchant in Moonwake Bazaar?,Ysra,21.706824148626353,19.40175946246938,-18.869643444056358,-2.7133780992823304,1.2920262632569721
6,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_pca_clamped\train_epoch_001_contexts.pt,innkeeper_identity,Who keeps the keys at Quiet Kettle Lodge?,Cinder,23.47482396128325,16.287942203495103,-15.541793127152747,1.3832315509134765,2.9724064939436294
7,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_pca_clamped\train_epoch_001_contexts.pt,caravan_time,When does the obsidian trade band arrive?,after second bell,23.366409871065528,16.616333932807986,-15.81989997391973,1.1976996882290236,2.854881559232167
8,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_pca_clamped\train_epoch_001_contexts.pt,ferry_password,What is the ferry password for North Weir Dock?,bronze-otter-374,25.058256959104696,13.692254788289002,-11.742699595344284,5.350543074265762,3.3718066135468865
9,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_pca_clamped\train_epoch_001_contexts.pt,caravan_time,When does the salt trade band arrive?,at midnight,24.957187077865527,13.702111150454572,-11.599257986081614,5.2953133373127645,4.054078517699974
